Date,Year,Month,Open,High,Low,Close,Volume,Return_%
2024-09-01 00:00:00+08:00,2024,9,50.69,53.43,43.12,52.25,365092398,3.68
2024-10-01 00:00:00+08:00,2024,10,52.25,53.82,44.73,46.20,242824975,-11.59
2024-11-01 00:00:00+08:00,2024,11,45.66,48.30,40.29,40.39,327129435,-12.58
2024-12-01 00:00:00+08:00,2024,12,40.49,41.27,34.28,34.67,444650364,-14.15
2025-01-01 00:00:00+08:00,2025,1,34.48,36.92,30.52,35.41,542575355,2.11
2025-02-01 00:00:00+08:00,2025,2,35.21,39.85,32.57,37.90,578165684,7.03
2025-03-01 00:00:00+08:00,2025,3,37.21,40.58,35.46,35.75,516916906,-5.67
2025-04-01 00:00:00+08:00,2025,4,35.99,37.31,30.82,33.21,273622321,-7.10
2025-05-01 00:00:00+08:00,2025,5,33.55,36.38,33.11,33.89,247553887,2.06
2025-06-01 00:00:00+08:00,2025,6,33.70,37.46,32.18,34.04,318094045,0.43
2025-07-01 00:00:00+08:00,2025,7,34.52,42.79,33.09,42.25,628590875,24.12
2025-08-01 00:00:00+08:00,2025,8,39.18,40.81,36.06,38.58,594856034,-8.68
2025-09-01 00:00:00+08:00,2025,9,38.19,38.88,37.00,38.19,239471095,-1.03
2025-10-01 00:00:00+08:00,2025,10,38.24,40.86,35.91,37.74,338023317,-1.17
2025-11-01 00:00:00+08:00,2025,11,37.74,43.69,36.16,41.26,613098520,9.32
2025-12-01 00:00:00+08:00,2025,12,41.26,44.38,38.34,38.63,396561833,-6.36
2026-01-01 00:00:00+08:00,2026,1,38.93,52.30,37.54,46.86,1060446828,21.28
2026-02-01 00:00:00+08:00,2026,2,46.11,52.90,43.29,51.12,470914954,9.09
2026-03-01 00:00:00+08:00,2026,3,53.20,54.28,44.23,45.47,964835135,-11.05
2026-04-01 00:00:00+08:00,2026,4,46.06,55.77,45.32,51.02,644986429,12.20
2026-05-01 00:00:00+08:00,2026,5,51.31,51.71,43.78,47.00,408267081,-7.86
2026-06-01 00:00:00+08:00,2026,6,47.90,59.80,43.10,54.50,1086115850,15.95
2026-07-01 00:00:00+08:00,2026,7,54.90,62.00,52.80,61.80,103020432,13.39
